Gene.stable.ID	Protein.stable.ID	Transcript.stable.ID	Gene.name	depth
ENSG00000000003	ENSP00000362111	ENST00000373020	TSPAN6	218
ENSG00000000005	ENSP00000362122	ENST00000373031	TNMD	457
ENSG00000000419	ENSP00000360644	ENST00000371588	DPM1	428
ENSG00000000457	ENSP00000356745	ENST00000367771	SCYL3	199
ENSG00000000460	ENSP00000352276	ENST00000359326	C1orf112	210
ENSG00000000938	ENSP00000363117	ENST00000374005	FGR	232
ENSG00000000971	ENSP00000356399	ENST00000367429	CFH	39
ENSG00000001036	ENSP00000002165	ENST00000002165	FUCA2	437
ENSG00000001084	ENSP00000497574	ENST00000650454	GCLC	218
ENSG00000001167	ENSP00000345702	ENST00000341376	NFYA	230
ENSG00000001460	ENSP00000337461	ENST00000337248	STPG1	168
ENSG00000001461	ENSP00000363520	ENST00000374399	NIPAL3	197
ENSG00000001497	ENSP00000363944	ENST00000374811	LAS1L	216
ENSG00000001561	ENSP00000318066	ENST00000321037	ENPP4	196
ENSG00000001617	ENSP00000002829	ENST00000002829	SEMA3F	273
ENSG00000001626	ENSP00000003084	ENST00000003084	CFTR	204
ENSG00000001629	ENSP00000265742	ENST00000265742	ANKIB1	199
ENSG00000001630	ENSP00000003100	ENST00000003100	CYP51A1	212
ENSG00000001631	ENSP00000378013	ENST00000394505	KRIT1	398
ENSG00000002016	ENSP00000351284	ENST00000358495	RAD52	200
ENSG00000002330	ENSP00000309103	ENST00000309032	BAD	79
ENSG00000002549	ENSP00000226299	ENST00000226299	LAP3	507
ENSG00000002586	ENSP00000370588	ENST00000381192	CD99	343
ENSG00000002587	ENSP00000002596	ENST00000002596	HS3ST1	192
ENSG00000002726	ENSP00000354193	ENST00000360937	AOC1	638
ENSG00000002745	ENSP00000222462	ENST00000222462	WNT16	209
ENSG00000002746	ENSP00000379228	ENST00000395891	HECW1	227
ENSG00000002822	ENSP00000265854	ENST00000265854	MAD1L1	197
ENSG00000002834	ENSP00000325240	ENST00000318008	LASP1	395
ENSG00000002919	ENSP00000352175	ENST00000359238	SNX11	197
ENSG00000002933	ENSP00000004103	ENST00000004103	TMEM176A	177
ENSG00000003056	ENSP00000000412	ENST00000000412	M6PR	195
ENSG00000003096	ENSP00000262820	ENST00000262820	KLHL13	290
ENSG00000003137	ENSP00000001146	ENST00000001146	CYP26B1	593
ENSG00000003147	ENSP00000385570	ENST00000402384	ICA1	402
ENSG00000003249	ENSP00000002501	ENST00000002501	DBNDD1	203
ENSG00000003393	ENSP00000264276	ENST00000264276	ALS2	272
ENSG00000003400	ENSP00000286186	ENST00000286186	CASP10	187
ENSG00000003402	ENSP00000312455	ENST00000309955	CFLAR	213
ENSG00000003436	ENSP00000233156	ENST00000233156	TFPI	144
ENSG00000003509	ENSP00000002125	ENST00000002125	NDUFAF7	208
ENSG00000003756	ENSP00000343054	ENST00000347869	RBM5	254
ENSG00000003987	ENSP00000180173	ENST00000180173	MTMR7	278
ENSG00000003989	ENSP00000419140	ENST00000494857	SLC7A2	129
ENSG00000004059	ENSP00000000233	ENST00000000233	ARF5	290
ENSG00000004139	ENSP00000468032	ENST00000585482	SARM1	215
ENSG00000004142	ENSP00000475924	ENST00000540200	POLDIP2	439
ENSG00000004399	ENSP00000317128	ENST00000324093	PLXND1	796
ENSG00000004455	ENSP00000499935	ENST00000672715	AK2	256
ENSG00000004468	ENSP00000226279	ENST00000226279	CD38	395
ENSG00000004478	ENSP00000001008	ENST00000001008	FKBP4	215
ENSG00000004487	ENSP00000383042	ENST00000400181	KDM1A	211
ENSG00000004534	ENSP00000266022	ENST00000266022	RBM6	136
ENSG00000004660	ENSP00000323118	ENST00000348335	CAMKK1	370
ENSG00000004700	ENSP00000416739	ENST00000444129	RECQL	208
ENSG00000004766	ENSP00000307666	ENST00000305866	VPS50	223
ENSG00000004776	ENSP00000004982	ENST00000004982	HSPB6	178
ENSG00000004777	ENSP00000368227	ENST00000378944	ARHGAP33	108
ENSG00000004779	ENSP00000007516	ENST00000007516	NDUFAB1	237
ENSG00000004799	ENSP00000005178	ENST00000005178	PDK4	1060
ENSG00000004809	ENSP00000357915	ENST00000368919	SLC22A16	201
ENSG00000004838	ENSP00000231749	ENST00000231749	ZMYND10	635
ENSG00000004846	ENSP00000384881	ENST00000404938	ABCB5	110
ENSG00000004848	ENSP00000368332	ENST00000379044	ARX	234
ENSG00000004864	ENSP00000265631	ENST00000265631	SLC25A13	181
ENSG00000004866	ENSP00000325673	ENST00000323984	ST7	414
ENSG00000004897	ENSP00000066544	ENST00000066544	CDC27	841
ENSG00000004939	ENSP00000262418	ENST00000262418	SLC4A1	272
ENSG00000004948	ENSP00000389295	ENST00000426151	CALCR	266
ENSG00000004961	ENSP00000370139	ENST00000380762	HCCS	232
ENSG00000004975	ENSP00000005340	ENST00000005340	DVL2	955
ENSG00000005001	ENSP00000161006	ENST00000161006	PRSS22	110
ENSG00000005007	ENSP00000262803	ENST00000262803	UPF1	253
ENSG00000005020	ENSP00000005587	ENST00000345317	SKAP2	396
ENSG00000005022	ENSP00000360671	ENST00000317881	SLC25A5	240
ENSG00000005059	ENSP00000378145	ENST00000394650	MCUB	220
ENSG00000005073	ENSP00000006015	ENST00000006015	HOXA11	267
ENSG00000005075	ENSP00000377383	ENST00000393794	POLR2J	35
ENSG00000005100	ENSP00000225296	ENST00000225296	DHX33	206
ENSG00000005102	ENSP00000321684	ENST00000318579	MEOX1	426
ENSG00000005108	ENSP00000406482	ENST00000423059	THSD7A	276
ENSG00000005156	ENSP00000367787	ENST00000378526	LIG3	204
ENSG00000005175	ENSP00000005386	ENST00000005386	RPAP3	207
ENSG00000005187	ENSP00000289416	ENST00000289416	ACSM3	187
ENSG00000005189	ENSP00000261377	ENST00000261377	REXO5	180
ENSG00000005194	ENSP00000377914	ENST00000394391	CIAPIN1	232
ENSG00000005206	ENSP00000478298	ENST00000613503	SPPL2B	217
ENSG00000005238	ENSP00000319897	ENST00000322813	FAM214B	198
ENSG00000005243	ENSP00000480707	ENST00000621465	COPZ2	411
ENSG00000005249	ENSP00000265717	ENST00000265717	PRKAR2B	218
ENSG00000005302	ENSP00000312244	ENST00000312196	MSL3	732
